날짜,시간(KST),테스트,플랫폼,Flow,결과,오류항목 개수,오류항목,비고
2026-07-07,14:52:41,iOS Guest Smoke,ios,tests/e2e/ios-guest-smoke.yaml,fail,1,Meeting tab coordinate missed current tabbar target,Failed before app regression confirmation; debug screenshot stayed on Home
2026-07-07,14:54:35,iOS Guest Smoke,ios,tests/e2e/ios-guest-smoke.yaml,fail,1,Tab tap y-coordinate landed below active tab target,Second guest run stayed on Home; adjusted tap points to icon centers
2026-07-07,14:57:08,iOS Guest Smoke,ios,tests/e2e/ios-guest-smoke.yaml,fail,1,Tab tap y-coordinate missed accessibility bounds,Hierarchy showed tab bounds y=769..800 on 844pt screen; adjusted to 93%
2026-07-07,14:59:11,iOS Guest Smoke,ios,tests/e2e/ios-guest-smoke.yaml,fail,1,Coordinate tap did not activate bottom tab despite matching bounds,Switching guest flow to tab accessibility labels
2026-07-07,15:00:24,iOS Guest Smoke,ios,tests/e2e/ios-guest-smoke.yaml,pass,0,-,Guest tabs and My login gate passed after accessibility-label tab taps
2026-07-07,15:02:52,iOS Login Smoke,ios,tests/e2e/ios-login-smoke.yaml,pass,0,-,Login form completed and auth gate disappeared
2026-07-07,15:03:26,iOS Login Persistence,ios,tests/e2e/ios-login-persistence.yaml,pass,0,-,Relaunch kept authenticated My Page available
2026-07-07,18:23:52,iOS Guest Smoke,ios,tests/e2e/ios-guest-smoke.yaml,pass,0,-,Maestro iPhone 16 Pro iOS 18.6: guest tab smoke passed via Expo dev-client URL
2026-07-07,18:27:18,iOS Login Smoke,ios,tests/e2e/ios-login-smoke.yaml,pass,0,-,Maestro iPhone 16 Pro iOS 18.6: login succeeded with provided test account via CLI env vars
2026-07-07,18:29:10,iOS Login Persistence,ios,tests/e2e/ios-login-persistence.yaml,pass,0,-,Maestro iPhone 16 Pro iOS 18.6: authenticated My Page remained available after dev-client relaunch
2026-07-07,18:29:59,iOS Guest Smoke,ios,tests/e2e/ios-guest-smoke.yaml,pass,0,-,Maestro iPhone 16 Pro iOS 18.6: final guest tab smoke passed via Expo dev-client URL
